model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
rbf_svm,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260731,0.9345238095238095,0.8987030926252781,0.9811507936507937,120,7,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,all_held_out_predictions,0.9095785440613027,0.9062262397566951,0.9504044274159217,888,45,11
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260715,0.9166666666666667,0.916083916083916,1.0,24,1,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260717,0.5,0.3333333333333333,1.0,24,1,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260720,1.0,1.0,1.0,24,1,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260721,1.0,1.0,1.0,36,2,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260723,0.9513888888888888,0.9301487572761711,0.9822530864197531,108,6,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260724,0.9791666666666667,0.9791576204950065,1.0,96,4,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260727,0.9333333333333333,0.9142857142857144,0.9120370370370371,96,5,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260728,0.9548611111111112,0.9485714285714286,0.9525462962962963,120,6,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260729,0.9375,0.9238095238095239,0.9369212962962963,120,6,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260730,0.8680555555555556,0.848951048951049,0.9036458333333334,120,6,1
hist_gradient_boosting,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260731,0.8015873015873016,0.8260239217107648,0.9695767195767195,120,7,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,all_held_out_predictions,0.9335568326947637,0.9205142341944983,0.9588920817369093,888,45,11
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260715,1.0,1.0,1.0,24,1,1
mlp,left,single_view,rgb,0.01,1.0,0.6543735715769791,exp_20260717,0.9166666666666667,0.916083916083916,1.0,24,1,1
