camera_group,representation,model,training_experiment_count,metric,estimate,lower,upper,held_out_experiment_count
extreme,handcrafted,logistic,4,training_image_count,266.8,244.0,294.4,10
extreme,handcrafted,logistic,6,balanced_accuracy,0.8516997354497354,0.7352302414021165,0.9430338128306878,10
extreme,handcrafted,logistic,6,macro_f1,0.8235881375061538,0.6748418023069194,0.9346150489720829,10
extreme,handcrafted,logistic,6,auroc,0.958767361111111,0.9351646894290123,0.9791666666666667,10
extreme,handcrafted,logistic,6,balanced_misclassification_regret,0.0061485001252256834,0.001000443372591198,0.013851774578081228,10
extreme,handcrafted,logistic,6,fit_predict_seconds,0.013299709864077159,0.0128128140821597,0.013828402891328247,10
extreme,handcrafted,logistic,6,training_cycle_count,22.8,21.6,23.866666666666664,10
extreme,handcrafted,logistic,6,training_image_count,441.6,420.39,460.4,10
extreme,handcrafted,logistic,8,balanced_accuracy,0.8663657407407408,0.7567563657407407,0.9494687500000001,10
extreme,handcrafted,logistic,8,macro_f1,0.8366507593404361,0.6937649899338442,0.939515856003234,10
extreme,handcrafted,logistic,8,auroc,0.9609187610229277,0.932785466269841,0.9847993827160492,10
extreme,handcrafted,logistic,8,balanced_misclassification_regret,0.0055275276138518495,0.00081705896252095,0.012857559303463505,10
extreme,handcrafted,logistic,8,fit_predict_seconds,0.013901424895933209,0.013295726082481753,0.014962237381162896,10
extreme,handcrafted,logistic,8,training_cycle_count,30.96666666666666,29.46666666666667,32.60000000000001,10
extreme,handcrafted,logistic,8,training_image_count,598.8,569.6,631.2,10
extreme,handcrafted,logistic,10,balanced_accuracy,0.8672519841269841,0.7522063492063492,0.9538509424603175,10
extreme,handcrafted,logistic,10,macro_f1,0.8355924151021477,0.6893365635703407,0.9440378618428543,10
extreme,handcrafted,logistic,10,auroc,0.9699123677248677,0.954356605489418,0.9863186177248677,10
extreme,handcrafted,logistic,10,balanced_misclassification_regret,0.005795430088992603,0.0007580490857345926,0.01321411173433298,10
extreme,handcrafted,logistic,10,fit_predict_seconds,0.014278875000309199,0.01398211854204419,0.01459789479173196,10
extreme,handcrafted,logistic,10,training_cycle_count,39.6,38.4,41.0,10
extreme,handcrafted,logistic,10,training_image_count,766.8,744.0,792.0,10
extreme,handcrafted,mlp,2,balanced_accuracy,0.7380390211640212,0.6340087632275132,0.8363194444444444,10
extreme,handcrafted,mlp,2,macro_f1,0.6713774035784583,0.5259570660529098,0.8038184376030075,10
extreme,handcrafted,mlp,2,auroc,0.8155064116696062,0.7115171039094651,0.9054653994892706,10
extreme,handcrafted,mlp,2,balanced_misclassification_regret,0.01567084416178442,0.005838014945644542,0.02731370914063042,10
extreme,handcrafted,mlp,2,fit_predict_seconds,0.05107417793575829,0.04530062792808167,0.05706355719698573,10
extreme,handcrafted,mlp,2,training_cycle_count,8.466666666666667,7.666666666666667,9.333333333333332,10
extreme,handcrafted,mlp,2,training_image_count,161.6,146.8,177.6,10
extreme,handcrafted,mlp,4,balanced_accuracy,0.8279431216931217,0.7396230158730158,0.8934540343915344,10
extreme,handcrafted,mlp,4,macro_f1,0.7888812732261387,0.6701787867846704,0.8732900089252202,10
extreme,handcrafted,mlp,4,auroc,0.9463328556731334,0.9090667828666962,0.9782248103137859,10
