representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,metric,estimate,lower,upper,experiment_count,evaluable_experiment_count
dinov3,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.823017457132484,0.7881345294906928,0.8568703356588381,14,12
dinov3,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9443912365267485,0.9256093552651509,0.9614857975742922,14,12
dinov3,random_forest,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.002187129132605064,0.0016879132477163523,0.0027439974108056588,14,12
dinov3,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8227687524309717,0.7931618664496177,0.8531957935757497,14,12
dinov3,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8211486322433267,0.7905364592959797,0.8524208011191202,14,12
dinov3,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9314592077675702,0.9113517923716346,0.9514045904438113,14,12
dinov3,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0022622669480556953,0.0017583664024037379,0.0027735427898923463,14,12
dinov3,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.8232503165314075,0.7912374551968954,0.8544208708301093,14,12
dinov3,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,macro_f1,0.8195071059127087,0.785163081960281,0.8531921816065664,14,12
dinov3,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,auroc,0.9403553412309188,0.920491681999078,0.9586692623263865,14,12
dinov3,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_misclassification_regret,0.0021864659382885513,0.0016909248810764038,0.0027287086633027823,14,12
dinov3,mlp,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,balanced_accuracy,0.7872075308590726,0.7545598653686972,0.8207263606455287,14,12
