representation,model,camera_group,training_protocol,modality,regret_threshold,sample_retained_fraction,eligible_image_coverage,scope,balanced_accuracy,macro_f1,auroc,image_count,cycle_count,experiment_count
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7457438271604938,0.7328321769170635,,2190,3,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8202380952380953,0.8198382535615184,,4140,5,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8564788394378805,0.8570913986042301,,4759,6,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8800651023383367,0.8799965498448463,,4811,6,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260730,0.8103700395564005,0.8110244243373396,,3540,5,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260731,0.7279162619735841,0.7240256200702747,,4488,6,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260803,0.8378368573797678,0.8263691907182222,,4776,6,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260804,0.786201031498222,0.7784254845915237,,5286,9,1
dinov2,rbf_svm,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260805,0.7969422911283376,0.7996473808681364,,5004,6,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,all_held_out_predictions,0.8097050495759364,0.8081785353689545,0.9293758617023401,44631,62,14
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260715,0.8447856478024213,0.8559193340421913,0.9619530729304918,1521,3,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260717,0.826223544973545,0.8273261188159503,0.9535806526185576,1656,2,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260720,,,,48,1,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260721,0.9379528985507246,0.9377085391615863,0.9929513871044185,852,1,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260723,,,,1560,3,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260724,0.7302608024691358,0.708527555024086,0.8921190001404877,2190,3,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260727,0.8053571428571429,0.8042454942227583,0.9422359763864393,4140,5,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260728,0.8503644766150197,0.850993557387032,0.9585052663695782,4759,6,1
dinov2,hist_gradient_boosting,all,pooled_views,rgb,0.01,1.0,0.8624763589025618,exp_20260729,0.8600001489079898,0.8598243618106943,0.966808624697431,4811,6,1
