experiment_id,evaluable,recall_before,recall_within,recall_after,balanced_accuracy,macro_f1,auroc,balanced_misclassification_regret,image_count,cycle_count,representation,model,camera_group,modality,regret_threshold
exp_20260731,True,0.8026819923371648,0.5048209366391184,0.6564625850340136,0.6546551713367655,0.6538384343811,0.8237335869015152,0.008459419204813043,4488,6,efficientnet,window_logistic,all,rgb,0.01
exp_20260803,True,0.8830845771144279,0.6342592592592593,0.8173611111111111,0.7782349824949327,0.773543473482404,0.9141840277093148,0.0027872897587084867,4776,6,efficientnet,window_logistic,all,rgb,0.01
exp_20260804,True,0.7843383584589615,0.6911764705882353,0.7156308851224106,0.7303819047232024,0.7234886272073281,0.8880454760695383,0.004713985672922811,5286,9,efficientnet,window_logistic,all,rgb,0.01
exp_20260805,True,0.8350694444444444,0.6182170542635659,0.7627314814814815,0.7386726600631639,0.7417417324571013,0.8949262344764269,0.00435837741193125,5004,6,efficientnet,window_logistic,all,rgb,0.01
exp_20260715,True,0.9654676258992806,0.659846547314578,0.6344827586206897,0.7532656439448494,0.7629248416240607,0.935729400926276,0.007837238768951982,1521,3,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260717,True,0.7760416666666666,0.498015873015873,0.7934027777777778,0.6891534391534391,0.6866610294907436,0.7943110976386439,0.00914674491683705,1656,2,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260721,True,0.7673611111111112,0.7391304347826086,0.9861111111111112,0.8308675523349436,0.8291915228722067,0.9560790120601638,0.00415172581241988,852,1,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260724,True,0.8333333333333334,0.6516203703703703,0.6653333333333333,0.7167623456790123,0.714755874916786,0.8445599745025598,0.0048763292496562,2190,3,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260727,True,0.7979166666666667,0.6182539682539683,0.9451388888888889,0.7871031746031746,0.786007401480678,0.9323452258475408,0.0030123329101886874,4140,5,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260728,True,0.9305064782096584,0.6986394557823129,0.813953488372093,0.8143664741213548,0.8147071824374844,0.9440213188490999,0.0020760498204118846,4759,6,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260729,True,0.8929440389294404,0.7409722222222223,0.8459756803705848,0.8266306471740825,0.8264092790515134,0.9453328121641823,0.002162739237835646,4811,6,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260730,True,0.8201320132013201,0.6164021164021164,0.8098827470686767,0.7488056255573711,0.7474343544918775,0.8979348916683145,0.003547745102907249,3540,5,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260731,True,0.7994891443167306,0.5075757575757576,0.6183673469387755,0.6418107496104213,0.6400476915046398,0.8132414592797547,0.008527564093716676,4488,6,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260803,True,0.8837064676616916,0.5972222222222222,0.8840277777777777,0.7883188225538972,0.7785694854499171,0.9166138285151337,0.0025939682679279106,4776,6,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260804,True,0.8400335008375209,0.6187363834422658,0.7476459510357816,0.7354719451051895,0.7229737994261364,0.8851709941791231,0.004526345111845667,5286,9,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260805,True,0.8379629629629629,0.6821705426356589,0.8396990740740741,0.7866108598908986,0.7873444823035808,0.9186190895192093,0.003236791786853082,5004,6,mobilenet_v3_small,logistic,all,rgb,0.01
exp_20260715,True,0.981294964028777,0.7698209718670077,0.864367816091954,0.8718279173292464,0.8783653695289332,0.9774476689715059,0.0015582935163478504,1521,3,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260717,True,0.8732638888888888,0.7202380952380952,0.8871527777777778,0.8268849206349206,0.8270416898707701,0.9475849837105624,0.0035250266149094585,1656,2,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260720,False,,,,,,,,48,1,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260721,True,0.9131944444444444,0.8840579710144928,0.9895833333333334,0.9289452495974236,0.9290958861396637,0.9910185827594477,0.0009057431031262216,852,1,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260723,False,,,,,,,,1560,3,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260724,True,0.953125,0.59375,0.812,0.7862916666666667,0.76573110764793,0.921460590909544,0.0023507123341468604,2190,3,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260727,True,0.7916666666666666,0.6468253968253969,0.9881944444444445,0.8088955026455027,0.8081538176644708,0.9553136757789535,0.00219236599665648,4140,5,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260728,True,0.9352179034157833,0.8156462585034013,0.7919547454431175,0.8476063024541007,0.8480298543017571,0.9608881973841346,0.001890429673226914,4759,6,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260729,True,0.9239659367396593,0.8388888888888889,0.8535031847133758,0.8721193367806412,0.8713322403107376,0.9694706592280936,0.0015080463998752753,4811,6,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260730,True,0.816006600660066,0.7442680776014109,0.8860971524288107,0.8154572768967626,0.8159530684311324,0.9126387081458858,0.002117183826243992,3540,5,mobilenet_v3_small,random_forest,all,rgb,0.01
exp_20260731,True,0.8914431673052363,0.44834710743801653,0.7666666666666667,0.7021523138033064,0.693182723483455,0.8720363413293849,0.0036851804108664447,4488,6,mobilenet_v3_small,random_forest,all,rgb,0.01
