representation,condition,experiment_id,cycle_name,camera_role,cosine_similarity
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top,0.9957047580992967
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top,0.9935201536980981
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top,0.9958225378234393
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top_close,0.9756077846384739
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top_close,0.9800442370786264
dinov2,dark_60pct,exp_20260731,frost_cycle_000070,top_close,0.9895864138547765
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,extreme,0.9913386984891892
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,extreme,0.9932736415586726
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,extreme,0.9940134081859316
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,front,0.9907343779515193
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,front,0.9902515978493655
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,front,0.9925109977162663
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left,0.9907429081178272
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left,0.9849151100694666
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left,0.9657664342409552
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left_close,0.9917208958777848
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left_close,0.9930984543303868
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,left_close,0.9897920954876939
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top,0.9943195609688565
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top,0.9938035250095029
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top,0.9902105769648187
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top_close,0.9800190452493692
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top_close,0.9915872879225708
dinov2,dark_60pct,exp_20260731,frost_cycle_000071,top_close,0.9812275059333095
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.992357415296292
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.9947985824629263
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.9923641056569356
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9928291415452117
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9798643326018985
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9731423241274123
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.9794490775425958
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.9792259836229513
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.9840421708398227
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.991287882357918
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.9785214382623252
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.9629909528468088
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.992052594006259
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.9913081058742527
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top,0.9876297555042046
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9879834199810787
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9808623007608881
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,top_close,0.9850972859948031
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.9950061539962244
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.9934313261584736
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,extreme,0.9942309233131349
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9916827020300708
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9914355395708259
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,front,0.9887381563373376
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.9697791033769141
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.9772394997137483
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left,0.97909869648762
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.9926350211699665
dinov2,dark_60pct,exp_20260731,frost_cycle_000072,left_close,0.9903077453358871
